method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.61328125,0.3765811011904762,0.12952380952380949,0.3782493954613095,0.3850911458333333
uniform,1,0.6139322916666666,0.38462611607142855,0.13142857142857137,0.3753720238095237,0.38616071428571425
uniform,2,0.6100260416666666,0.38337053571428575,0.17261904761904753,0.37706356956845233,0.3893229166666667
uniform,3,0.6067708333333334,0.37030319940476186,0.15462184873949578,0.3761160714285714,0.38811383928571425
fixed,0,0.5950520833333334,0.3864862351190476,0.15497835497835494,0.37234933035714285,0.3864862351190476
fixed,1,0.6243489583333334,0.38457961309523814,0.17925170068027202,0.37378510974702384,0.38457961309523814
fixed,2,0.58984375,0.37416294642857145,0.17428571428571427,0.3693673270089286,0.3787667410714286
fixed,3,0.5716145833333334,0.3696521577380952,0.1667857142857142,0.3690941220238095,0.3796502976190476
failure_only,0,0.6061197916666666,0.3954613095238095,0.2008163265306122,0.38908458891369047,0.4011346726190476
failure_only,1,0.6145833333333334,0.40313430059523814,0.18035714285714283,0.3831380208333333,0.40313430059523814
failure_only,2,0.6119791666666666,0.39276413690476186,0.17619047619047618,0.387236095610119,0.39857700892857145
failure_only,3,0.615234375,0.3901599702380952,0.20968253968253964,0.3917933872767857,0.4065290178571428
td_loss,0,0.6022135416666666,0.3734188988095238,0.14285714285714285,0.3729248046875,0.3811848958333333
td_loss,1,0.615234375,0.3880673363095238,0.1895238095238095,0.370907738095238,0.3880673363095238
td_loss,2,0.6178385416666666,0.37490699404761907,0.1195238095238095,0.3752499534970238,0.38299851190476186
td_loss,3,0.5846354166666666,0.3704892113095238,0.18112244897959182,0.3653971354166667,0.3704892113095238
bgr_uniform_radius,0,0.6204427083333334,0.3894159226190476,0.12857142857142856,0.37895856584821425,0.393461681547619
bgr_uniform_radius,1,0.607421875,0.39178757440476186,0.14285714285714285,0.3744070870535714,0.39178757440476186
bgr_uniform_radius,2,0.6022135416666666,0.37625558035714285,0.1795518207282913,0.3713030133928571,0.3845331101190476
bgr_uniform_radius,3,0.6158854166666666,0.3830450148809524,0.17517006802721086,0.3698265438988095,0.3830450148809524
bgr_coverage,0,0.619140625,0.38602120535714285,0.18880952380952376,0.3704892113095238,0.38602120535714285
bgr_coverage,1,0.6145833333333334,0.38681175595238093,0.17285714285714282,0.3701346261160714,0.38681175595238093
bgr_coverage,2,0.59765625,0.3841610863095238,0.1823376623376623,0.37577892485119047,0.388671875
bgr_coverage,3,0.619140625,0.3831380208333333,0.1755102040816326,0.372221447172619,0.3831380208333333
bgr,0,0.6015625,0.3791852678571428,0.18047619047619046,0.38156273251488104,0.38741629464285715
bgr,1,0.591796875,0.3707217261904761,0.1821428571428571,0.3720877511160714,0.38174293154761907
bgr,2,0.6067708333333334,0.37779017857142855,0.1638095238095238,0.36557733444940477,0.37797619047619047
bgr,3,0.6022135416666666,0.38364955357142855,0.1826373626373626,0.37212262834821425,0.38364955357142855
