seed,replay_index,sigma,trial,success,final_distance,steps
0,0,0.0,0,0,0.48038731609110563,50
0,0,0.0,1,0,0.48038731609110563,50
0,0,0.02,0,0,0.4803615011812949,50
0,0,0.02,1,0,0.4803615011812949,50
0,0,0.04,0,0,0.4638138261467991,50
0,0,0.04,1,0,0.4638138261467991,50
0,0,0.06,0,0,0.46533767864099457,50
0,0,0.06,1,0,0.46533767864099457,50
0,0,0.08,0,0,0.4573483133088083,50
0,0,0.08,1,0,0.4573483133088083,50
0,0,0.12,0,0,0.4573483133088083,50
0,0,0.12,1,0,0.4573483133088083,50
0,1,0.0,0,0,0.513060322538215,50
0,1,0.0,1,0,0.513060322538215,50
0,1,0.02,0,0,0.4975824524696664,50
0,1,0.02,1,0,0.4975824524696664,50
0,1,0.04,0,0,0.5031017207529129,50
0,1,0.04,1,0,0.5031017207529129,50
0,1,0.06,0,0,0.5076927042937368,50
0,1,0.06,1,0,0.5076927042937368,50
0,1,0.08,0,0,0.512154289345392,50
0,1,0.08,1,0,0.512154289345392,50
0,1,0.12,0,0,0.5237509085420564,50
0,1,0.12,1,0,0.5237509085420564,50
0,2,0.0,0,0,0.5985846704219917,50
0,2,0.0,1,0,0.5985846704219917,50
0,2,0.02,0,0,0.6090438623032293,50
0,2,0.02,1,0,0.6090438623032293,50
0,2,0.04,0,0,0.606296462176385,50
0,2,0.04,1,0,0.606296462176385,50
0,2,0.06,0,0,0.6441422778281763,50
0,2,0.06,1,0,0.6441422778281763,50
0,2,0.08,0,0,0.6380381543389839,50
0,2,0.08,1,0,0.6380381543389839,50
0,2,0.12,0,0,0.6827129531902739,50
0,2,0.12,1,0,0.6827129531902739,50
0,3,0.0,0,0,0.6483881874449139,50
0,3,0.0,1,0,0.6483881874449139,50
0,3,0.02,0,0,0.6237735078074838,50
0,3,0.02,1,0,0.6237735078074838,50
0,3,0.04,0,0,0.6358286772560976,50
0,3,0.04,1,0,0.6358286772560976,50
0,3,0.06,0,0,0.6288730020281682,50
0,3,0.06,1,0,0.6288730020281682,50
0,3,0.08,0,0,0.6429505636516325,50
0,3,0.08,1,0,0.6429505636516325,50
0,3,0.12,0,0,0.5644351694068872,50
0,3,0.12,1,0,0.5644351694068872,50
1,0,0.0,0,1,0.03396263051617949,0
1,0,0.0,1,1,0.03396263051617949,0
1,0,0.02,0,1,0.0436764040573186,0
1,0,0.02,1,1,0.0436764040573186,0
1,0,0.04,0,1,0.04929072808691669,15
1,0,0.04,1,1,0.04929072808691669,15
1,0,0.06,0,1,0.041685987359367106,13
1,0,0.06,1,1,0.041685987359367106,13
1,0,0.08,0,1,0.031131115347602798,14
1,0,0.08,1,1,0.031131115347602798,14
1,0,0.12,0,1,0.031131115347602798,14
1,0,0.12,1,1,0.031131115347602798,14
1,1,0.0,0,0,0.6177941378001723,50
1,1,0.0,1,0,0.6177941378001723,50
1,1,0.02,0,0,0.66955559461591,50
1,1,0.02,1,0,0.66955559461591,50
1,1,0.04,0,0,0.6922484691513329,50
1,1,0.04,1,0,0.6922484691513329,50
1,1,0.06,0,0,0.6798085185065161,50
1,1,0.06,1,0,0.6798085185065161,50
1,1,0.08,0,0,0.7152425936099124,50
1,1,0.08,1,0,0.7152425936099124,50
1,1,0.12,0,0,0.7397836656615049,50
1,1,0.12,1,0,0.7397836656615049,50
1,2,0.0,0,1,0.03504051422870725,0
1,2,0.0,1,1,0.03504051422870725,0
1,2,0.02,0,1,0.02752695319857301,0
1,2,0.02,1,1,0.02752695319857301,0
1,2,0.04,0,1,0.03293226115119763,0
1,2,0.04,1,1,0.03293226115119763,0
1,2,0.06,0,1,0.04699191051462972,0
1,2,0.06,1,1,0.04699191051462972,0
1,2,0.08,0,1,0.03818595022467841,10
1,2,0.08,1,1,0.03818595022467841,10
1,2,0.12,0,1,0.041816220153419015,10
1,2,0.12,1,1,0.041816220153419015,10
1,3,0.0,0,0,0.558285769544706,50
1,3,0.0,1,0,0.558285769544706,50
1,3,0.02,0,0,0.5406943008079155,50
1,3,0.02,1,0,0.5406943008079155,50
1,3,0.04,0,0,0.1622527039157979,50
1,3,0.04,1,0,0.1622527039157979,50
1,3,0.06,0,0,0.14258771167579382,50
1,3,0.06,1,0,0.14258771167579382,50
1,3,0.08,0,0,0.5264546794716374,50
1,3,0.08,1,0,0.5264546794716374,50
1,3,0.12,0,0,0.49935211284610803,50
1,3,0.12,1,0,0.49935211284610803,50
