method,seed,final_clean,final_rauc,final_median_r80,rauc_aulc,best_rauc
uniform,0,0.8933492968138563,0.3642554623198826,0.29317586358327885,0.2945565124595162,0.3642554623198826
uniform,1,0.88612140599832,0.35914664650922296,0.28759285121695843,0.28808074475570267,0.35914664650922296
uniform,2,0.8859094387859279,0.3594449894374912,0.29193197731307474,0.290722746699305,0.3594449894374912
fixed,0,0.8103727211794967,0.21285959019905817,0.1387738157473863,0.21484848149218314,0.21683497024368042
fixed,1,0.8025745307928999,0.20599264985230972,0.13169155898950424,0.2079712853459438,0.21000779460977873
fixed,2,0.7992407048181391,0.20945458688161342,0.13494416392410613,0.21143604883017164,0.21341151141024767
failure_only,0,0.8742513525189425,0.3241458933452423,0.26511798235384354,0.27237079156613436,0.3241458933452423
failure_only,1,0.8649494445456044,0.3186254045978113,0.2568288629786697,0.26630054432046624,0.3186254045978113
failure_only,2,0.8648510317897024,0.31684978093494953,0.2630081091705385,0.2667274062649415,0.31684978093494953
plr_loss,0,0.8118113660571016,0.21576129475961556,0.13958879704023566,0.21632891330407722,0.21683497024368042
plr_loss,1,0.8044340045950165,0.20874245260396224,0.1335287071181216,0.20938299193578547,0.21000779460977873
plr_loss,2,0.8013288589605261,0.21235146845615135,0.13729026008811762,0.2130086129767553,0.21341151141024767
bgr,0,0.9327138719136039,0.4066821328615309,0.326657776076696,0.3303950929738966,0.4066821328615309
bgr,1,0.9264118813168157,0.40316837888884,0.32108769266416587,0.32728028539567844,0.40316837888884
bgr,2,0.927393888213175,0.40199036726887344,0.32608495981454033,0.3288831783839115,0.40199036726887344
