seed,sigma,success,best_distance,initial_distance,active_fingers,active_action_dims
0,0.0,0,0.06772710355150716,0.10393200721967592,"3,4","0,1,11,12,13,14,15,16,17,18,19"
0,0.05,0,0.0713834986882148,0.10526154420140679,"3,4","0,1,11,12,13,14,15,16,17,18,19"
0,0.1,0,0.06934496117920723,0.10622047564493331,"3,4","0,1,11,12,13,14,15,16,17,18,19"
0,0.15,0,0.06846943780258084,0.10213523587598006,"3,4","0,1,11,12,13,14,15,16,17,18,19"
0,0.2,0,0.0697143967853422,0.10282809213789301,"3,4","0,1,11,12,13,14,15,16,17,18,19"
1,0.0,0,0.07370709630256816,0.10307808109119833,"3,4","0,1,11,12,13,14,15,16,17,18,19"
1,0.05,0,0.06932728149743311,0.10368867811188433,"3,4","0,1,11,12,13,14,15,16,17,18,19"
1,0.1,0,0.0693900895111452,0.10482950064843123,"3,4","0,1,11,12,13,14,15,16,17,18,19"
1,0.15,0,0.07324324333339961,0.10574554248161565,"3,4","0,1,11,12,13,14,15,16,17,18,19"
1,0.2,0,0.06566457537971641,0.09776572011303426,"3,4","0,1,11,12,13,14,15,16,17,18,19"
2,0.0,0,0.07134070529991733,0.10353813981178893,"0,4","0,1,2,3,4,15,16,17,18,19"
2,0.05,0,0.07052820048100293,0.10371054003552088,"0,4","0,1,2,3,4,15,16,17,18,19"
2,0.1,0,0.07099107618673643,0.10303311817403736,"0,4","0,1,2,3,4,15,16,17,18,19"
2,0.15,0,0.0713359366683736,0.10176059678081863,"0,4","0,1,2,3,4,15,16,17,18,19"
2,0.2,0,0.07546486829817166,0.10832676991543068,"0,4","0,1,2,3,4,15,16,17,18,19"
3,0.0,0,0.06859602123597933,0.09926896760471828,"2,4","0,1,8,9,10,15,16,17,18,19"
3,0.05,0,0.06959087526682504,0.10102487059694021,"2,4","0,1,8,9,10,15,16,17,18,19"
3,0.1,0,0.0723572479202571,0.09992510899806321,"2,4","0,1,8,9,10,15,16,17,18,19"
3,0.15,0,0.06715777987821417,0.0949578537823563,"2,4","0,1,8,9,10,15,16,17,18,19"
3,0.2,0,0.07091230181053887,0.1021207106767522,"2,4","0,1,8,9,10,15,16,17,18,19"
4,0.0,0,0.05153364726904354,0.08296285895792817,"1,4","0,1,5,6,7,15,16,17,18,19"
4,0.05,0,0.05122687390228486,0.08389677646013392,"1,4","0,1,5,6,7,15,16,17,18,19"
4,0.1,0,0.05060252074143684,0.08109459231374515,"1,4","0,1,5,6,7,15,16,17,18,19"
4,0.15,0,0.051184359442167295,0.08460657039524981,"1,4","0,1,5,6,7,15,16,17,18,19"
4,0.2,0,0.05105701526453367,0.07925192053624036,"1,4","0,1,5,6,7,15,16,17,18,19"
5,0.0,0,0.06660715111475059,0.09612116174629874,"3,4","0,1,11,12,13,14,15,16,17,18,19"
5,0.05,0,0.06453430206040432,0.09624522991711482,"3,4","0,1,11,12,13,14,15,16,17,18,19"
5,0.1,0,0.061992953957635356,0.09574173285580109,"3,4","0,1,11,12,13,14,15,16,17,18,19"
5,0.15,0,0.060897380561261795,0.09172088363133525,"3,4","0,1,11,12,13,14,15,16,17,18,19"
5,0.2,0,0.06670092231164566,0.09905278293774497,"3,4","0,1,11,12,13,14,15,16,17,18,19"
6,0.0,0,0.06228466509731476,0.0946291364869482,"1,4","0,1,5,6,7,15,16,17,18,19"
6,0.05,0,0.062472192689545354,0.0952650862666708,"1,4","0,1,5,6,7,15,16,17,18,19"
6,0.1,0,0.06221196863424127,0.09531393105474247,"1,4","0,1,5,6,7,15,16,17,18,19"
6,0.15,0,0.0597045850463809,0.09276470469486765,"1,4","0,1,5,6,7,15,16,17,18,19"
6,0.2,0,0.06645984197903262,0.09741854375685578,"1,4","0,1,5,6,7,15,16,17,18,19"
7,0.0,0,0.06683692151628828,0.09554196093093514,"3,4","0,1,11,12,13,14,15,16,17,18,19"
7,0.05,0,0.0634431795651356,0.0943194276233465,"3,4","0,1,11,12,13,14,15,16,17,18,19"
7,0.1,0,0.0670093115973771,0.09496908197429373,"3,4","0,1,11,12,13,14,15,16,17,18,19"
7,0.15,0,0.06346418928981941,0.09356757705147047,"3,4","0,1,11,12,13,14,15,16,17,18,19"
7,0.2,0,0.06317304432286484,0.09308044750661987,"3,4","0,1,11,12,13,14,15,16,17,18,19"
