method,seed,step,clean,rauc,median_r80
uniform,0,0.0,0.0,0.0,9.0
uniform,0,10.0,0.9,0.5666666666666667,3.7
uniform,0,20.0,0.9,0.5666666666666667,3.7
uniform,1,0.0,0.0,0.0,9.0
uniform,1,10.0,0.9,0.5666666666666667,3.7
uniform,1,20.0,0.9,0.5666666666666667,3.7
uniform,2,0.0,0.0,0.0,9.0
uniform,2,10.0,0.9,0.5666666666666667,3.7
uniform,2,20.0,0.9,0.5666666666666667,3.7
uniform,3,0.0,0.8,0.5055555555555555,3.7
uniform,3,10.0,0.9,0.5666666666666667,3.7
uniform,3,20.0,0.9,0.5666666666666667,3.7
failure_only,0,0.0,0.0,0.0,9.0
failure_only,0,10.0,0.9,0.5666666666666667,3.7
failure_only,0,20.0,0.9,0.5666666666666667,3.7
failure_only,1,0.0,0.0,0.0,9.0
failure_only,1,10.0,0.9,0.5666666666666667,3.7
failure_only,1,20.0,0.9,0.5666666666666667,3.7
failure_only,2,0.0,0.0,0.0,9.0
failure_only,2,10.0,0.9,0.5666666666666667,3.7
failure_only,2,20.0,0.9,0.5666666666666667,3.7
failure_only,3,0.0,0.8,0.5055555555555555,3.7
failure_only,3,10.0,0.9,0.5666666666666667,3.7
failure_only,3,20.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,0,0.0,0.0,0.0,9.0
bgr_uniform_radius,0,10.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,0,20.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,1,0.0,0.0,0.0,9.0
bgr_uniform_radius,1,10.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,1,20.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,2,0.0,0.0,0.0,9.0
bgr_uniform_radius,2,10.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,2,20.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,3,0.0,0.8,0.5055555555555555,3.7
bgr_uniform_radius,3,10.0,0.9,0.5666666666666667,3.7
bgr_uniform_radius,3,20.0,0.9,0.5666666666666667,3.7
bgr_coverage,0,0.0,0.0,0.0,9.0
bgr_coverage,0,10.0,0.9,0.5666666666666667,3.7
bgr_coverage,0,20.0,0.9,0.5666666666666667,3.7
bgr_coverage,1,0.0,0.0,0.0,9.0
bgr_coverage,1,10.0,0.9,0.5666666666666667,3.7
bgr_coverage,1,20.0,0.9,0.5666666666666667,3.7
bgr_coverage,2,0.0,0.0,0.0,9.0
bgr_coverage,2,10.0,0.9,0.5666666666666667,3.7
bgr_coverage,2,20.0,0.9,0.5666666666666667,3.7
bgr_coverage,3,0.0,0.8,0.5055555555555555,3.7
bgr_coverage,3,10.0,0.9,0.5666666666666667,3.7
bgr_coverage,3,20.0,0.9,0.5666666666666667,3.7
bgr,0,0.0,0.0,0.0,9.0
bgr,0,10.0,0.9,0.5666666666666667,3.7
bgr,0,20.0,0.9,0.5666666666666667,3.7
bgr,1,0.0,0.0,0.0,9.0
bgr,1,10.0,0.9,0.5666666666666667,3.7
bgr,1,20.0,0.9,0.5666666666666667,3.7
bgr,2,0.0,0.0,0.0,9.0
bgr,2,10.0,0.9,0.5666666666666667,3.7
bgr,2,20.0,0.9,0.5666666666666667,3.7
bgr,3,0.0,0.8,0.5055555555555555,3.7
bgr,3,10.0,0.9,0.5666666666666667,3.7
bgr,3,20.0,0.9,0.5666666666666667,3.7
