method,seed,final_clean,final_rauc,final_median_r80,final_abs_r10,rauc_aulc,best_rauc,runtime_sec
uniform,0,0.7222222222222222,0.5856481481481481,0.09999999999999995,1.0,0.3919270833333333,0.5856481481481481,17.31791090965271
fixed,0,0.5833333333333334,0.6064814814814815,0.3333333333333333,0.9916666666666667,0.41218171296296297,0.6064814814814815,17.517576694488525
failure_only,0,0.75,0.6354166666666666,0.09999999999999995,0.975,0.44733796296296285,0.6354166666666666,135.26327395439148
td_loss,0,0.5416666666666666,0.5543981481481481,0.375,0.46249999999999997,0.4039351851851852,0.5543981481481481,23.68764352798462
bgr_uniform_radius,0,0.611111111111111,0.5439814814814815,0.24999999999999994,0.8083333333333332,0.38353587962962965,0.5439814814814815,20.183391094207764
bgr_coverage,0,0.4861111111111111,0.4884259259259259,0.41666666666666663,0.5458333333333333,0.35720486111111105,0.4884259259259259,20.373570442199707
bgr,0,0.486111111111111,0.4918981481481481,0.3,0.2833333333333333,0.36226851851851855,0.4918981481481481,19.807260990142822
uniform,1,0.6944444444444443,0.6585648148148148,0.3833333333333333,1.0,0.49985532407407407,0.6585648148148148,12.869093656539917
fixed,1,0.6388888888888888,0.6539351851851851,0.49999999999999994,1.0,0.4871238425925926,0.6539351851851851,14.206380128860474
failure_only,1,0.6527777777777778,0.6851851851851851,0.3916666666666666,1.0,0.5081018518518517,0.6851851851851851,115.49712324142456
td_loss,1,0.5694444444444443,0.6863425925925926,0.5166666666666666,0.9791666666666667,0.5186631944444444,0.6863425925925926,23.549548387527466
bgr_uniform_radius,1,0.7083333333333334,0.6574074074074074,0.44166666666666665,1.0,0.49710648148148157,0.6574074074074074,17.86673641204834
bgr_coverage,1,0.5416666666666666,0.5949074074074074,0.6583333333333332,1.0,0.45804398148148157,0.5949074074074074,18.203399419784546
bgr,1,0.6805555555555555,0.65625,0.4333333333333333,1.0,0.4697627314814815,0.65625,17.25663948059082
uniform,2,0.5694444444444445,0.5439814814814815,0.3833333333333333,0.6291666666666667,0.40596064814814814,0.5439814814814815,16.27003526687622
fixed,2,0.5416666666666666,0.5625,0.5333333333333333,0.8958333333333333,0.42013888888888895,0.5625,16.341124296188354
failure_only,2,0.611111111111111,0.6134259259259259,0.4833333333333333,1.0,0.4635416666666667,0.6134259259259259,132.4344711303711
td_loss,2,0.5277777777777778,0.6006944444444444,0.6083333333333333,0.9624999999999999,0.4156539351851852,0.6006944444444444,23.51873278617859
bgr_uniform_radius,2,0.5,0.5902777777777778,0.8999999999999999,0.8958333333333333,0.4314236111111112,0.5902777777777778,20.13238525390625
bgr_coverage,2,0.5277777777777777,0.4976851851851852,0.3083333333333333,0.7249999999999999,0.37471064814814814,0.4976851851851852,19.331655502319336
bgr,2,0.5416666666666666,0.5358796296296297,0.35,0.7958333333333333,0.37282986111111105,0.5358796296296297,18.726040601730347
uniform,3,0.5833333333333334,0.6446759259259259,0.6777777777777778,1.0,0.45109953703703703,0.6446759259259259,14.659331321716309
fixed,3,0.5555555555555555,0.5960648148148148,0.7916666666666665,1.0,0.4635416666666667,0.6122685185185185,14.194644689559937
failure_only,3,0.6805555555555555,0.6712962962962962,0.4333333333333333,1.0,0.4778645833333333,0.6712962962962962,118.69866919517517
td_loss,3,0.6388888888888888,0.6365740740740741,0.375,1.0,0.4709201388888889,0.6365740740740741,22.38052463531494
bgr_uniform_radius,3,0.6249999999999999,0.5775462962962963,0.2666666666666666,0.8916666666666666,0.4403935185185185,0.5775462962962963,18.512965202331543
bgr_coverage,3,0.6388888888888888,0.5416666666666666,0.2666666666666666,0.8791666666666667,0.43475115740740733,0.5416666666666666,18.0774142742157
bgr,3,0.5833333333333334,0.5914351851851852,0.4333333333333333,0.975,0.42158564814814814,0.5914351851851852,17.85012936592102
