dataset,target_radius,method,seed,final_rauc
ionosphere,0.5000,uniform,0,0.861280
ionosphere,0.5000,fixed,0,0.790142
ionosphere,0.5000,bgr,0,0.804878
ionosphere,0.5000,uniform,1,0.834858
ionosphere,0.5000,fixed,1,0.850610
ionosphere,0.5000,bgr,1,0.811992
ionosphere,0.5000,uniform,2,0.775915
ionosphere,0.5000,fixed,2,0.871951
ionosphere,0.5000,bgr,2,0.785569
ionosphere,0.5000,uniform,3,0.863313
ionosphere,0.5000,fixed,3,0.800305
ionosphere,0.5000,bgr,3,0.786077
ionosphere,1.0000,uniform,0,0.861280
ionosphere,1.0000,fixed,0,0.835366
ionosphere,1.0000,bgr,0,0.839431
ionosphere,1.0000,uniform,1,0.834858
ionosphere,1.0000,fixed,1,0.844512
ionosphere,1.0000,bgr,1,0.801829
ionosphere,1.0000,uniform,2,0.775915
ionosphere,1.0000,fixed,2,0.902947
ionosphere,1.0000,bgr,2,0.867886
ionosphere,1.0000,uniform,3,0.863313
ionosphere,1.0000,fixed,3,0.780488
ionosphere,1.0000,bgr,3,0.845020
ionosphere,1.5000,uniform,0,0.861280
ionosphere,1.5000,fixed,0,0.834350
ionosphere,1.5000,bgr,0,0.808943
ionosphere,1.5000,uniform,1,0.834858
ionosphere,1.5000,fixed,1,0.854675
ionosphere,1.5000,bgr,1,0.887703
ionosphere,1.5000,uniform,2,0.775915
ionosphere,1.5000,fixed,2,0.908537
ionosphere,1.5000,bgr,2,0.836890
ionosphere,1.5000,uniform,3,0.863313
ionosphere,1.5000,fixed,3,0.760163
ionosphere,1.5000,bgr,3,0.837907
ionosphere,2.0000,uniform,0,0.861280
ionosphere,2.0000,fixed,0,0.839939
ionosphere,2.0000,bgr,0,0.845528
ionosphere,2.0000,uniform,1,0.834858
ionosphere,2.0000,fixed,1,0.855183
ionosphere,2.0000,bgr,1,0.844004
ionosphere,2.0000,uniform,2,0.775915
ionosphere,2.0000,fixed,2,0.855691
ionosphere,2.0000,bgr,2,0.786585
ionosphere,2.0000,uniform,3,0.863313
ionosphere,2.0000,fixed,3,0.815549
ionosphere,2.0000,bgr,3,0.805386
sonar,0.5000,uniform,0,0.744007
sonar,0.5000,fixed,0,0.808219
sonar,0.5000,bgr,0,0.773973
sonar,0.5000,uniform,1,0.747432
sonar,0.5000,fixed,1,0.679795
sonar,0.5000,bgr,1,0.707192
sonar,0.5000,uniform,2,0.773973
sonar,0.5000,fixed,2,0.791952
sonar,0.5000,bgr,2,0.727740
sonar,0.5000,uniform,3,0.685788
sonar,0.5000,fixed,3,0.695205
sonar,0.5000,bgr,3,0.720890
sonar,1.0000,uniform,0,0.744007
sonar,1.0000,fixed,0,0.779110
sonar,1.0000,bgr,0,0.767123
sonar,1.0000,uniform,1,0.747432
sonar,1.0000,fixed,1,0.696062
sonar,1.0000,bgr,1,0.687500
sonar,1.0000,uniform,2,0.773973
sonar,1.0000,fixed,2,0.795377
sonar,1.0000,bgr,2,0.736301
sonar,1.0000,uniform,3,0.685788
sonar,1.0000,fixed,3,0.706336
sonar,1.0000,bgr,3,0.709760
sonar,1.5000,uniform,0,0.744007
sonar,1.5000,fixed,0,0.815068
sonar,1.5000,bgr,0,0.798801
sonar,1.5000,uniform,1,0.747432
sonar,1.5000,fixed,1,0.680651
sonar,1.5000,bgr,1,0.756849
sonar,1.5000,uniform,2,0.773973
sonar,1.5000,fixed,2,0.764555
sonar,1.5000,bgr,2,0.816781
sonar,1.5000,uniform,3,0.685788
sonar,1.5000,fixed,3,0.736301
sonar,1.5000,bgr,3,0.694349
sonar,2.0000,uniform,0,0.744007
sonar,2.0000,fixed,0,0.829623
sonar,2.0000,bgr,0,0.714041
sonar,2.0000,uniform,1,0.747432
sonar,2.0000,fixed,1,0.744007
sonar,2.0000,bgr,1,0.725171
sonar,2.0000,uniform,2,0.773973
sonar,2.0000,fixed,2,0.821918
sonar,2.0000,bgr,2,0.650685
sonar,2.0000,uniform,3,0.685788
sonar,2.0000,fixed,3,0.684932
sonar,2.0000,bgr,3,0.741438
diabetes,0.5000,uniform,0,0.707750
diabetes,0.5000,fixed,0,0.702250
diabetes,0.5000,bgr,0,0.736750
diabetes,0.5000,uniform,1,0.676500
diabetes,0.5000,fixed,1,0.688500
diabetes,0.5000,bgr,1,0.533250
diabetes,0.5000,uniform,2,0.671750
diabetes,0.5000,fixed,2,0.718250
diabetes,0.5000,bgr,2,0.678250
diabetes,0.5000,uniform,3,0.662750
diabetes,0.5000,fixed,3,0.625000
diabetes,0.5000,bgr,3,0.613250
diabetes,1.0000,uniform,0,0.707750
diabetes,1.0000,fixed,0,0.680000
diabetes,1.0000,bgr,0,0.645500
diabetes,1.0000,uniform,1,0.676500
diabetes,1.0000,fixed,1,0.683500
diabetes,1.0000,bgr,1,0.621000
diabetes,1.0000,uniform,2,0.671750
diabetes,1.0000,fixed,2,0.732000
diabetes,1.0000,bgr,2,0.646750
diabetes,1.0000,uniform,3,0.662750
diabetes,1.0000,fixed,3,0.575500
diabetes,1.0000,bgr,3,0.700000
diabetes,1.5000,uniform,0,0.707750
diabetes,1.5000,fixed,0,0.670250
diabetes,1.5000,bgr,0,0.660000
diabetes,1.5000,uniform,1,0.676500
diabetes,1.5000,fixed,1,0.683000
diabetes,1.5000,bgr,1,0.706000
diabetes,1.5000,uniform,2,0.671750
diabetes,1.5000,fixed,2,0.698250
diabetes,1.5000,bgr,2,0.720250
diabetes,1.5000,uniform,3,0.662750
diabetes,1.5000,fixed,3,0.657750
diabetes,1.5000,bgr,3,0.762500
diabetes,2.0000,uniform,0,0.707750
diabetes,2.0000,fixed,0,0.727000
diabetes,2.0000,bgr,0,0.734750
diabetes,2.0000,uniform,1,0.676500
diabetes,2.0000,fixed,1,0.684750
diabetes,2.0000,bgr,1,0.724500
diabetes,2.0000,uniform,2,0.671750
diabetes,2.0000,fixed,2,0.708250
diabetes,2.0000,bgr,2,0.755500
diabetes,2.0000,uniform,3,0.662750
diabetes,2.0000,fixed,3,0.679750
diabetes,2.0000,bgr,3,0.746000
spambase,0.5000,uniform,0,0.834500
spambase,0.5000,fixed,0,0.859750
spambase,0.5000,bgr,0,0.857250
spambase,0.5000,uniform,1,0.859000
spambase,0.5000,fixed,1,0.881500
spambase,0.5000,bgr,1,0.914750
spambase,0.5000,uniform,2,0.864000
spambase,0.5000,fixed,2,0.717250
spambase,0.5000,bgr,2,0.846000
spambase,0.5000,uniform,3,0.883250
spambase,0.5000,fixed,3,0.873000
spambase,0.5000,bgr,3,0.849750
spambase,1.0000,uniform,0,0.834500
spambase,1.0000,fixed,0,0.864250
spambase,1.0000,bgr,0,0.892500
spambase,1.0000,uniform,1,0.859000
spambase,1.0000,fixed,1,0.878500
spambase,1.0000,bgr,1,0.878000
spambase,1.0000,uniform,2,0.864000
spambase,1.0000,fixed,2,0.739500
spambase,1.0000,bgr,2,0.884250
spambase,1.0000,uniform,3,0.883250
spambase,1.0000,fixed,3,0.866500
spambase,1.0000,bgr,3,0.881250
spambase,1.5000,uniform,0,0.834500
spambase,1.5000,fixed,0,0.838000
spambase,1.5000,bgr,0,0.822500
spambase,1.5000,uniform,1,0.859000
spambase,1.5000,fixed,1,0.865500
spambase,1.5000,bgr,1,0.882250
spambase,1.5000,uniform,2,0.864000
spambase,1.5000,fixed,2,0.751000
spambase,1.5000,bgr,2,0.868250
spambase,1.5000,uniform,3,0.883250
spambase,1.5000,fixed,3,0.878250
spambase,1.5000,bgr,3,0.894500
spambase,2.0000,uniform,0,0.834500
spambase,2.0000,fixed,0,0.835250
spambase,2.0000,bgr,0,0.828500
spambase,2.0000,uniform,1,0.859000
spambase,2.0000,fixed,1,0.886000
spambase,2.0000,bgr,1,0.873750
spambase,2.0000,uniform,2,0.864000
spambase,2.0000,fixed,2,0.749750
spambase,2.0000,bgr,2,0.869250
spambase,2.0000,uniform,3,0.883250
spambase,2.0000,fixed,3,0.901500
spambase,2.0000,bgr,3,0.892750
