method,seed,final_clean,final_rauc,final_median_r80,final_abs_r20,rauc_aulc,best_rauc
uniform,0,0.75,0.4375,0.7,0.5333333333333333,0.2791666666666667,0.6124999999999999
uniform,1,0.0,0.013888888888888888,1.0,0.0,0.1875,1.0
uniform,2,0.0,0.049999999999999996,1.0,0.0,0.18124999999999997,0.6041666666666666
uniform,3,0.5,0.37916666666666665,1.0,0.4666666666666667,0.34027777777777773,0.6041666666666666
fixed,0,0.0,0.0,1.0,0.0,0.20625,0.6124999999999999
fixed,1,0.0,0.0,1.0,0.0,0.3518518518518519,1.0
fixed,2,0.0,0.0125,1.0,0.0,0.2555555555555556,0.6041666666666666
fixed,3,0.25,0.16666666666666666,1.0,0.0,0.26875,0.6041666666666666
failure_only,0,1.0,0.6041666666666666,0.6166666666666666,0.7166666666666667,0.5944444444444444,0.6124999999999999
failure_only,1,0.5,0.5,1.0,0.4666666666666667,0.6296296296296297,1.0
failure_only,2,1.0,0.6041666666666666,0.6166666666666666,0.7166666666666667,0.6097222222222222,0.6208333333333332
failure_only,3,0.75,0.475,0.22222222222222218,0.28888888888888886,0.49652777777777773,0.6041666666666666
td_loss,0,0.0,0.0,1.0,0.0,0.10208333333333332,0.6124999999999999
td_loss,1,0.16666666666666666,0.05555555555555555,1.0,0.0,0.17592592592592593,1.0
td_loss,2,0.25,0.16666666666666666,1.0,0.0,0.1284722222222222,0.6041666666666666
td_loss,3,0.0,0.0,1.0,0.0,0.13402777777777777,0.6041666666666666
bgr_uniform_radius,0,0.5,0.2708333333333333,0.6833333333333333,0.06666666666666667,0.2861111111111111,0.6124999999999999
bgr_uniform_radius,1,0.16666666666666666,0.05555555555555555,1.0,0.0,0.5407407407407409,1.0
bgr_uniform_radius,2,0.0,0.0,1.0,0.0,0.1548611111111111,0.6041666666666666
bgr_uniform_radius,3,0.25,0.16666666666666666,1.0,0.0,0.24513888888888888,0.6041666666666666
bgr_coverage,0,0.75,0.43749999999999994,0.3833333333333333,0.3,0.17499999999999996,0.6124999999999999
bgr_coverage,1,0.16666666666666666,0.03333333333333333,1.0,0.0,0.17222222222222222,1.0
bgr_coverage,2,0.25,0.16666666666666666,1.0,0.0,0.2395833333333333,0.6041666666666666
bgr_coverage,3,0.25,0.1916666666666667,1.0,0.0,0.23125,0.6041666666666666
bgr,0,0.5,0.2625,0.6833333333333333,0.06666666666666667,0.14583333333333334,0.6124999999999999
bgr,1,0.0,0.0,1.0,0.0,0.524074074074074,1.0
bgr,2,0.25,0.14583333333333334,1.0,0.0,0.22916666666666666,0.6041666666666666
bgr,3,0.25,0.1541666666666667,1.0,0.0,0.24444444444444444,0.6041666666666666
